Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Land Cruiser 200,2011,2011,85 сая ₮,166000,4.6 л,Механик,Зөв,Жийп,Хар,2011,2011,Дизель,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Aqua,2014,2021,11 сая ₮,200000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2021,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Land Cruiser 200,2011,2011,86 сая ₮,166000,4.6 л,Механик,Зөв,Жийп,Хар,2011,2011,Дизель,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Hilux,2008,2020,55 сая ₮,170,3.0 л,Механик,Буруу,Жийп,Цагаан,2008,2020,Дизель,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Lexus,RX,2016,2024,110 сая ₮,98890,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2016,2024,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Harrier,2003,2012,16 сая ₮,190000,2.4 л,Автомат,Буруу,Жийп,Саарал,2003,2012,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 20,2007,2013,13 сая ₮,12345678,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2007,2013,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Lexus,GS,2012,2024,45 сая ₮,100000,3.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2024,Хайбрид,Хар,гүй,Хойноо RWD,Дугаар авсан,4
Lexus,GX,2004,2012,45 сая ₮,210000,4.7 л,Автомат,Зөв,Суудлын тэрэг,Бусад,2004,2012,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Prius 30,2010,2020,18 сая ₮,240000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2020,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 20,2003,2017,9 сая ₮,140000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2003,2017,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2012,2022,20 сая ₮,180000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2012,2022,Бензин,Бусад,гүй,Урдаа FWD,Дугаар авсан,4
Hyundai,Santa-Fe,2012,2022,45 сая ₮,180000,1.9 л,Автомат,Зөв,Жийп,Шар,2012,2022,Дизель,Цагаан шар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Hiace,2011,2023,65 сая ₮,133000,2.7 л,Автомат,Буруу,Гэр бүлийн,Саарал,2011,2023,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Prius 30,2013,2018,5 сая ₮,1500000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2013,2018,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Voltz,2003,2012,5 сая ₮,74000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2003,2012,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
